new_customer,income_verification,language,age,gender,country,amount,loan_duration,use_of_loan,education,marital_status,nr_dependants,employment_status,employment_duration,work_experience,occupation,home_ownership,income,existing_debt,total_debt,debt_to_income,disposable_income,credit_score_microL,credit_score_equifax,credit_score_ee_mini,nr_previous_loans,amount_previous_loans,previous_repayments,previous_early_repayments,previous_early_repayments_count,default,credit_score_fi_asiakas_c,credit_score_fi_asiakas_n
1,unverified,finnish,60,male,FI,800.0,60,other,secondary,single,0.0,retiree,MoreThan5Years,MoreThan25Years,healthcare,tenant_furnished,1361.0,4,939.0,34.44,392.26,,,,0,0.0,0.0,0.0,0,1,RL1,
1,unverified,finnish,57,male,FI,1500.0,60,other,higher,single,0.0,fully,MoreThan5Years,MoreThan25Years,other,council_house,1600.0,1,500.0,3.34,1046.58,,,,0,0.0,0.0,0.0,0,1,RL1,
1,expenses_verified,spanish,60,male,ES,1000.0,60,other,basic,married,1.0,retiree,MoreThan5Years,MoreThan25Years,mining,owner,1676.0,7,2347.0,40.13,25.38,M1,C,,0,0.0,0.0,0.0,0,1,,
1,verified,russian,39,male,EE,7500.0,60,home_improvement,basic,married,2.0,fully,UpTo1Year,15To25Years,telecom,owner,917.0,1,275.0,23.1,430.2,,,1000.0,0,0.0,0.0,0.0,0,1,,
0,expenses_verified,estonian,27,male,EE,1500.0,48,loan_consolidation,higher,single,0.0,fully,UpTo4Years,5To10Years,research,owner,1598.0,5,874.89,7.69,736.09,,,600.0,2,1600.0,507.58,0.0,0,1,,
1,expenses_verified,russian,22,female,EE,800.0,36,real_estate,basic,single,0.0,fully,UpTo2Years,2To5Years,retail,tenant_furnished,751.0,5,667.0,60.16,49.23,,,1000.0,0,0.0,0.0,0.0,0,0,,
1,unverified,estonian,30,male,EE,1500.0,36,home_improvement,secondary,single,1.0,entrepreneur,UpTo4Years,10To15Years,entertainment,owner,1500.0,4,1256.0,28.25,176.28,,,1000.0,0,0.0,0.0,0.0,0,0,,
1,unverified,spanish,30,male,ES,1000.0,60,loan_consolidation,vocational,married,3.0,fully,MoreThan5Years,5To10Years,civil_service,tenant_unfurnished,1350.0,5,669.0,22.66,639.06,M3,B,,0,0.0,0.0,0.0,0,1,,
1,expenses_verified,spanish,46,male,ES,3000.0,60,other,higher,divorced,2.0,fully,MoreThan5Years,15To25Years,other,mortgage,1000.0,2,650.0,12.58,224.2,M2,B,,0,0.0,0.0,0.0,0,1,,
1,verified,spanish,41,male,ES,1000.0,60,home_improvement,higher,single,0.0,fully,UpTo3Years,15To25Years,processing,living_with_parents,781.0,1,350.0,4.66,394.62,M3,A,,0,0.0,0.0,0.0,0,1,,
1,verified,spanish,36,male,ES,1500.0,60,other,secondary,single,0.0,fully,UpTo3Years,10To15Years,other,living_with_parents,1043.0,2,750.0,47.86,193.81,M2,C,,0,0.0,0.0,0.0,0,0,,
1,verified,finnish,38,male,FI,10000.0,60,other,vocational,cohabitant,3.0,fully,UpTo2Years,15To25Years,processing,owner,2675.0,3,1152.0,16.27,1237.71,,,,0,0.0,0.0,0.0,0,1,RL2,
1,unverified,finnish,49,male,FI,2000.0,60,loan_consolidation,vocational,married,0.0,fully,MoreThan5Years,MoreThan25Years,real_estate,owner,2200.0,4,1390.0,16.05,746.93,,,,0,0.0,0.0,0.0,0,1,RL1,
1,expenses_verified,estonian,44,male,EE,2500.0,60,home_improvement,secondary,single,0.0,fully,UpTo3Years,2To5Years,processing,owner,392.0,1,250.0,28.53,30.15,,,600.0,0,0.0,0.0,0.0,0,1,,
1,unverified,spanish,37,male,ES,1500.0,36,home_improvement,vocational,married,2.0,fully,UpTo4Years,10To15Years,catering,owner,1697.0,2,893.0,4.06,735.02,M1,B,,0,0.0,0.0,0.0,0,1,,
1,verified,finnish,48,male,FI,2200.0,60,home_improvement,higher,married,1.0,fully,MoreThan5Years,MoreThan25Years,civil_service,owner,3411.0,2,1403.0,2.44,1924.94,,,,0,0.0,0.0,0.0,0,0,RL1,
1,verified,finnish,38,female,FI,5000.0,60,loan_consolidation,secondary,cohabitant,0.0,fully,UpTo3Years,10To15Years,retail,owner,2048.0,4,1339.0,20.41,565.92,,,,0,0.0,0.0,0.0,0,1,RL2,
1,expenses_verified,finnish,50,male,FI,5000.0,60,loan_consolidation,secondary,married,1.0,fully,UpTo2Years,MoreThan25Years,telecom,owner,2627.0,3,1136.86,20.35,1304.33,,,,0,0.0,0.0,0.0,0,1,RL2,
1,unverified,finnish,53,female,FI,1500.0,60,other,vocational,widow,0.0,fully,MoreThan5Years,MoreThan25Years,other,tenant_furnished,3250.0,1,975.0,1.74,2218.37,,,,0,0.0,0.0,0.0,0,1,RL1,
1,verified,spanish,52,male,ES,1200.0,60,travel,vocational,cohabitant,2.0,fully,MoreThan5Years,15To25Years,transport,living_with_parents,1138.0,1,350.0,5.7,723.17,M6,A,,0,0.0,0.0,0.0,0,1,,
1,expenses_verified,finnish,32,female,FI,5000.0,60,other,vocational,single,0.0,fully,UpTo1Year,10To15Years,real_estate,tenant_unfurnished,1282.0,3,643.0,24.5,467.95,,,,0,0.0,0.0,0.0,0,0,RL2,
0,verified,estonian,28,male,EE,6400.0,18,business,higher,divorced,0.0,fully,UpTo5Years,5To10Years,research,owner,1035.0,2,444.64,69.67,3.88,,,900.0,1,1300.0,559.69,0.0,0,1,,
1,unverified,finnish,39,male,FI,2500.0,60,health,secondary,divorced,0.0,entrepreneur,MoreThan5Years,15To25Years,other,owner,2800.0,2,1140.0,2.53,1589.2,,,,0,0.0,0.0,0.0,0,1,RL2,
1,unverified,estonian,33,female,EE,1500.0,36,home_improvement,secondary,married,2.0,entrepreneur,UpTo2Years,LessThan2Years,other,joint_ownership,1590.0,9,1048.0,40.17,474.28,,,1000.0,0,0.0,0.0,0.0,0,0,,
0,verified,estonian,27,male,EE,1100.0,36,vehicle,vocational,single,0.0,fully,UpTo5Years,5To10Years,retail,joint_ownership,850.0,4,499.0,33.75,308.15,,,1000.0,0,0.0,0.0,1100.0,1,0,,
0,expenses_verified,spanish,40,male,ES,3000.0,48,travel,higher,married,2.0,fully,MoreThan5Years,15To25Years,civil_service,owner,1582.0,6,754.52,12.19,915.11,M4,A,,4,6800.0,1697.68,0.0,0,1,,
0,expenses_verified,estonian,37,female,EE,600.0,60,vehicle,secondary,married,2.0,fully,MoreThan5Years,10To15Years,civil_service,living_with_parents,840.0,7,502.61,30.15,334.72,,,700.0,1,500.0,101.43,0.0,0,1,,
1,unverified,finnish,37,male,FI,3000.0,60,home_improvement,vocational,cohabitant,2.0,entrepreneur,UpTo3Years,15To25Years,construction,owner,3500.0,3,1851.0,11.24,1556.55,,,,0,0.0,0.0,0.0,0,1,RL2,
1,verified,finnish,30,female,FI,3000.0,36,other,secondary,cohabitant,2.0,fully,UpTo4Years,10To15Years,retail,tenant_furnished,2103.0,3,845.0,16.22,1131.82,,,,0,0.0,0.0,2000.0,1,1,RL2,
1,unverified,spanish,30,female,ES,500.0,36,health,higher,single,0.0,fully,MoreThan5Years,5To10Years,healthcare,living_with_parents,991.0,3,1078.0,6.96,572.04,M1,C,,0,0.0,0.0,0.0,0,1,,
1,unverified,spanish,32,male,ES,500.0,36,home_improvement,higher,married,1.0,self_employed,UpTo1Year,10To15Years,education,owner,700.0,2,528.0,29.85,141.04,M5,B,,0,0.0,0.0,0.0,0,0,,
0,expenses_verified,spanish,66,female,ES,1500.0,60,other,secondary,widow,0.0,retiree,MoreThan5Years,MoreThan25Years,other,joint_ownership,1866.0,6,1234.96,38.11,595.96,M5,B,,1,1000.0,222.87,0.0,0,1,,
1,unverified,finnish,35,male,FI,2500.0,36,other,vocational,single,0.0,entrepreneur,MoreThan5Years,15To25Years,transport,living_with_parents,2500.0,2,1070.0,20.05,1248.64,,,,0,0.0,0.0,0.0,0,1,RL4,
1,expenses_verified,finnish,36,male,FI,4500.0,60,loan_consolidation,vocational,cohabitant,0.0,fully,MoreThan5Years,10To15Years,transport,tenant_unfurnished,2275.0,7,1725.55,53.46,376.84,,,,0,0.0,0.0,0.0,0,1,RL2,
1,verified,finnish,38,male,FI,3000.0,60,home_improvement,higher,married,1.0,fully,MoreThan5Years,15To25Years,other,owner,2086.0,6,1713.0,32.64,280.13,,,,0,0.0,0.0,1500.0,1,1,RL2,
1,unverified,spanish,49,female,ES,1500.0,36,home_improvement,primary,married,1.0,fully,MoreThan5Years,5To10Years,other,mortgage,2070.0,2,1591.0,3.74,401.48,M4,A,,0,0.0,0.0,0.0,0,1,,
1,expenses_verified,russian,43,male,EE,3000.0,60,home_improvement,vocational,married,1.0,fully,MoreThan5Years,15To25Years,energy,joint_ownership,970.0,6,781.0,54.9,146.47,,,1000.0,0,0.0,0.0,0.0,0,1,,
1,unverified,spanish,32,male,ES,500.0,60,other,secondary,single,0.0,fully,UpTo2Years,10To15Years,other,living_with_parents,900.0,2,584.0,29.0,288.99,M5,B,,0,0.0,0.0,0.0,0,1,,
1,expenses_verified,estonian,37,male,EE,10000.0,60,business,higher,single,1.0,entrepreneur,MoreThan5Years,10To15Years,entertainment,owner,2000.0,3,1400.0,14.12,317.5,,,1000.0,0,0.0,0.0,0.0,0,0,,
1,unverified,spanish,35,female,ES,500.0,60,other,vocational,married,1.0,fully,MoreThan5Years,15To25Years,other,joint_ownership,600.0,2,550.0,38.88,16.72,M2,C,,0,0.0,0.0,0.0,0,1,,
0,verified,russian,27,female,EE,3800.0,60,home_improvement,secondary,married,1.0,fully,UpTo1Year,5To10Years,telecom,owner,568.0,1,250.0,18.96,210.32,,,1000.0,0,0.0,0.0,500.0,1,0,,
1,unverified,spanish,27,female,ES,500.0,60,other,secondary,single,2.0,fully,MoreThan5Years,10To15Years,retail,living_with_parents,974.0,3,645.0,32.16,310.81,M1,B,,0,0.0,0.0,0.0,0,1,,
0,unverified,estonian,47,male,EE,1300.0,36,home_improvement,secondary,single,0.0,fully,UpTo1Year,15To25Years,construction,owner,1500.0,2,552.08,3.49,997.58,,,1000.0,1,1000.0,700.99,0.0,0,0,,
1,unverified,spanish,42,male,ES,500.0,60,business,vocational,married,1.0,fully,UpTo2Years,10To15Years,catering,tenant_unfurnished,1700.0,1,510.0,1.25,1168.82,M2,B,,0,0.0,0.0,0.0,0,0,,
1,unverified,spanish,57,male,ES,1000.0,36,home_improvement,higher,divorced,0.0,fully,MoreThan5Years,MoreThan25Years,civil_service,owner,1251.0,1,375.0,3.71,829.6,M1,B,,0,0.0,0.0,0.0,0,1,,
1,verified,finnish,56,male,FI,3000.0,60,loan_consolidation,vocational,married,0.0,fully,MoreThan5Years,MoreThan25Years,transport,owner,3100.0,3,4305.0,3.05,1700.39,,,,0,0.0,0.0,0.0,0,1,RL1,
1,verified,spanish,51,male,ES,6000.0,60,other,primary,single,0.0,partially,UpTo1Year,LessThan2Years,healthcare,living_with_parents,625.0,1,350.0,27.24,104.76,M2,AAA,,0,0.0,0.0,0.0,0,1,,
1,unverified,spanish,26,male,ES,500.0,60,other,basic,cohabitant,1.0,self_employed,UpTo1Year,5To10Years,construction,tenant_furnished,1890.0,1,567.0,1.76,1289.72,M5,C,,0,0.0,0.0,0.0,0,1,,
1,unverified,spanish,28,male,ES,500.0,60,other,secondary,single,0.0,fully,MoreThan5Years,5To10Years,civil_service,living_with_parents,936.0,1,350.0,3.56,552.72,M5,C,,0,0.0,0.0,0.0,0,1,,
0,verified,estonian,46,female,EE,1400.0,36,travel,higher,divorced,1.0,fully,UpTo4Years,15To25Years,other,mortgage,1212.0,5,758.45,5.54,540.82,,,1000.0,2,1500.0,1447.61,0.0,0,0,,
0,verified,estonian,33,male,EE,3700.0,60,business,basic,cohabitant,2.0,fully,MoreThan5Years,5To10Years,processing,owner,1105.0,5,631.58,20.54,480.98,,,1000.0,1,3000.0,391.04,0.0,0,0,,
1,verified,spanish,40,male,ES,1000.0,60,other,primary,single,0.0,retiree,MoreThan5Years,10To15Years,civil_service,living_with_parents,817.0,2,600.0,35.05,180.62,M4,AA,,0,0.0,0.0,0.0,0,0,,
1,verified,finnish,31,female,FI,4000.0,60,loan_consolidation,secondary,married,0.0,fully,MoreThan5Years,10To15Years,other,owner,2620.0,7,1666.0,16.58,999.53,,,,0,0.0,0.0,0.0,0,1,RL2,
1,unverified,estonian,39,male,EE,1000.0,60,loan_consolidation,secondary,divorced,1.0,fully,UpTo5Years,15To25Years,transport,joint_tenant,1000.0,8,1267.0,66.39,36.14,,,800.0,0,0.0,0.0,0.0,0,0,,
1,verified,spanish,45,male,ES,5000.0,24,home_improvement,vocational,married,0.0,fully,MoreThan5Years,15To25Years,other,owner,1662.0,1,498.0,18.0,864.89,M3,A,,0,0.0,0.0,0.0,0,1,,
1,verified,finnish,42,female,FI,3000.0,60,loan_consolidation,vocational,cohabitant,1.0,fully,MoreThan5Years,10To15Years,healthcare,tenant_unfurnished,2150.0,2,995.0,22.09,1030.17,,,,0,0.0,0.0,0.0,0,1,RL2,
1,verified,estonian,52,female,EE,3000.0,36,real_estate,vocational,married,0.0,fully,MoreThan5Years,15To25Years,other,tenant_unfurnished,465.0,2,267.0,29.09,79.74,,,1000.0,0,0.0,0.0,0.0,0,0,,
1,verified,spanish,38,male,ES,1200.0,60,other,secondary,single,0.0,fully,MoreThan5Years,15To25Years,catering,living_with_parents,1597.0,2,565.0,11.51,934.23,M5,D,,0,0.0,0.0,0.0,0,1,,
1,unverified,finnish,66,female,FI,1000.0,60,other,secondary,widow,0.0,retiree,MoreThan5Years,MoreThan25Years,retail,owner,1330.0,3,668.0,14.95,631.19,,,,0,0.0,0.0,0.0,0,1,RL1,
1,expenses_verified,spanish,47,female,ES,3000.0,60,other,higher,single,0.0,fully,MoreThan5Years,15To25Years,finance,tenant_furnished,1325.0,5,671.0,32.91,491.92,M1,C,,0,0.0,0.0,0.0,0,1,,
1,verified,finnish,36,female,FI,3000.0,60,home_improvement,secondary,cohabitant,4.0,fully,UpTo3Years,5To10Years,healthcare,mortgage,2334.0,4,1414.35,14.99,834.02,,,,0,0.0,0.0,0.0,0,0,RL2,
1,unverified,spanish,39,male,ES,1000.0,36,other,secondary,cohabitant,0.0,fully,UpTo5Years,15To25Years,agriculture,owner,1157.0,1,350.0,4.47,755.33,M2,B,,0,0.0,0.0,0.0,0,1,,
0,verified,finnish,65,male,FI,1500.0,60,other,secondary,cohabitant,0.0,retiree,MoreThan5Years,MoreThan25Years,other,tenant_furnished,1725.0,5,947.97,22.18,825.32,,,,1,2000.0,358.91,0.0,0,1,RL1,
1,unverified,spanish,41,male,ES,1000.0,36,other,vocational,single,0.0,retiree,,,unknown,joint_tenant,1000.0,1,350.0,7.29,577.1,M2,C,,0,0.0,0.0,0.0,0,1,,
1,unverified,spanish,23,female,ES,500.0,60,health,higher,single,0.0,partially,UpTo2Years,LessThan2Years,other,living_with_parents,600.0,1,350.0,3.53,228.82,M4,A,,0,0.0,0.0,0.0,0,1,,
0,verified,finnish,50,male,FI,4000.0,60,home_improvement,higher,married,0.0,fully,MoreThan5Years,MoreThan25Years,civil_service,owner,2300.0,5,1369.06,18.06,894.55,,,,1,2000.0,384.39,0.0,0,1,RL2,
1,verified,finnish,34,male,FI,3700.0,60,education,vocational,married,2.0,fully,MoreThan5Years,10To15Years,construction,owner,2200.0,3,1510.0,17.08,564.32,,,,0,0.0,0.0,0.0,0,1,RL2,
0,expenses_verified,spanish,50,male,ES,3000.0,60,other,vocational,divorced,0.0,self_employed,UpTo1Year,15To25Years,telecom,tenant_furnished,1020.0,3,641.02,36.24,300.38,M5,C,,1,1200.0,372.67,0.0,0,1,,
1,expenses_verified,finnish,48,female,FI,3000.0,60,home_improvement,secondary,single,0.0,fully,MoreThan5Years,MoreThan25Years,real_estate,owner,2400.0,4,1142.0,21.44,1165.55,,,,0,0.0,0.0,0.0,0,1,RL2,
1,expenses_verified,estonian,34,female,EE,2600.0,60,other,secondary,cohabitant,0.0,fully,UpTo3Years,2To5Years,retail,tenant_furnished,1100.0,4,1023.0,23.97,36.29,,,1000.0,0,0.0,0.0,0.0,0,1,,
1,verified,estonian,50,female,EE,1700.0,36,home_improvement,secondary,married,1.0,fully,MoreThan5Years,MoreThan25Years,finance,owner,1320.0,4,916.0,15.51,337.31,,,1000.0,0,0.0,0.0,0.0,0,0,,
0,expenses_verified,finnish,33,male,FI,2500.0,60,other,higher,married,3.0,fully,MoreThan5Years,10To15Years,civil_service,mortgage,2972.0,6,2228.51,23.69,642.81,,,,2,10000.0,1917.24,1400.0,2,1,RL3,
1,unverified,spanish,63,male,ES,1500.0,36,home_improvement,vocational,married,1.0,retiree,MoreThan5Years,MoreThan25Years,processing,owner,1630.0,2,1249.0,50.9,311.4,M3,A,,0,0.0,0.0,0.0,0,0,,
1,verified,finnish,29,male,FI,4000.0,60,other,secondary,cohabitant,0.0,fully,UpTo5Years,10To15Years,telecom,owner,2500.0,2,1000.0,5.44,1364.12,,,,0,0.0,0.0,0.0,0,0,RL2,
1,verified,spanish,47,male,ES,700.0,60,health,primary,single,0.0,retiree,MoreThan5Years,15To25Years,other,council_house,833.0,1,350.0,6.85,425.97,M9,C,,0,0.0,0.0,0.0,0,1,,
1,verified,finnish,38,male,FI,6100.0,36,home_improvement,higher,married,0.0,fully,MoreThan5Years,10To15Years,telecom,mortgage,3819.0,6,2385.0,19.39,1183.66,,,,0,0.0,0.0,0.0,0,0,RL2,
0,verified,estonian,35,male,EE,6200.0,60,loan_consolidation,secondary,cohabitant,2.0,fully,UpTo1Year,10To15Years,construction,owner_with_encumbrance,1413.0,3,1004.88,53.75,230.45,,,1000.0,1,4300.0,1017.55,0.0,0,1,,
0,expenses_verified,spanish,47,male,ES,7000.0,60,education,vocational,cohabitant,2.0,fully,MoreThan5Years,MoreThan25Years,healthcare,owner,1339.0,3,705.71,43.33,357.82,M1,C,,1,2600.0,297.8,0.0,0,1,,
1,unverified,spanish,40,male,ES,1000.0,48,other,primary,single,0.0,fully,MoreThan5Years,15To25Years,other,tenant_unfurnished,1200.0,1,360.0,4.72,783.37,M5,A,,0,0.0,0.0,0.0,0,1,,
